2026-02-17T01:10:57.000000000Z [inf]  Starting Container
2026-02-17T01:10:59.474944262Z [inf]   * Serving Flask app 'main'
2026-02-17T01:10:59.474950867Z [inf]   * Debug mode: off
2026-02-17T01:10:59.474957161Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-02-17T01:10:59.474962062Z [err]   * Running on all addresses (0.0.0.0)
2026-02-17T01:10:59.474966465Z [err]   * Running on http://127.0.0.1:8080
2026-02-17T01:10:59.474973986Z [err]   * Running on http://10.221.85.230:8080
2026-02-17T01:10:59.474985067Z [err]  [33mPress CTRL+C to quit[0m
2026-02-17T01:11:49.411272031Z [inf]  Selected scenario: new_patient_schedule
2026-02-17T01:11:49.411276930Z [err]  100.64.0.2 - - [17/Feb/2026 01:11:43] "POST /voice HTTP/1.1" 200 -
2026-02-17T01:12:09.114804851Z [inf]  Clinic said: Thanks for calling Pivot Point Orthopedics, part of Pretty Good AI. Am I speaking with Alex?
2026-02-17T01:12:09.114820583Z [inf]  Patient reply: Yes, this is Alex.
2026-02-17T01:12:09.114828706Z [err]  100.64.0.3 - - [17/Feb/2026 01:12:06] "POST /recording HTTP/1.1" 200 -
2026-02-17T01:12:09.114921738Z [inf]  Saved audio: audio/CA3493462759db7632b253454e7800da9a_1771290724.wav
2026-02-17T01:12:28.592023236Z [inf]  Saved audio: audio/CA3493462759db7632b253454e7800da9a_1771290740.wav
2026-02-17T01:12:28.592028376Z [inf]  Clinic said: Got it. Alex, can you please tell me your date of birth to verify your identity?
2026-02-17T01:12:28.592035881Z [inf]  Patient reply: Sure! My date of birth is January 15, 1990.
2026-02-17T01:12:28.592041417Z [err]  100.64.0.4 - - [17/Feb/2026 01:12:24] "POST /recording HTTP/1.1" 200 -
2026-02-17T01:12:48.593774304Z [inf]  Saved audio: audio/CA3493462759db7632b253454e7800da9a_1771290764.wav
2026-02-17T01:12:48.593782979Z [inf]  Clinic said: The birth date doesn't match our records, but for demo purposes, I'll accept it. How can I help you today?
2026-02-17T01:12:48.593792894Z [inf]  Patient reply: I’d like to schedule an appointment for next week, please.
2026-02-17T01:12:48.593799089Z [err]  100.64.0.5 - - [17/Feb/2026 01:12:47] "POST /recording HTTP/1.1" 200 -
2026-02-17T01:13:18.592203688Z [inf]  Saved audio: audio/CA3493462759db7632b253454e7800da9a_1771290789.wav
2026-02-17T01:13:18.592212200Z [inf]  Clinic said: Of course, what type of appointment would you like to book? For example, a new patient consultation, follow-up consultation, procedure, or a physical therapy session?
2026-02-17T01:13:18.592220529Z [inf]  Patient reply: I would like to schedule a new patient consultation, please.
2026-02-17T01:13:18.592228406Z [err]  100.64.0.6 - - [17/Feb/2026 01:13:12] "POST /recording HTTP/1.1" 200 -
2026-02-17T01:13:37.857167578Z [inf]  Saved audio: audio/CA3493462759db7632b253454e7800da9a_1771290812.wav
2026-02-17T01:13:37.857175508Z [inf]  Clinic said: You'd like to schedule a new patient consultation next week. Would you prefer a specific provider or should I check availability with any provider?
2026-02-17T01:13:37.857181905Z [inf]  Patient reply: I don't have a specific provider in mind, so checking availability with any provider works for me.
2026-02-17T01:13:37.857187820Z [err]  100.64.0.5 - - [17/Feb/2026 01:13:34] "POST /recording HTTP/1.1" 200 -
2026-02-17T01:14:17.794052039Z [inf]  Saved audio: audio/CA3493462759db7632b253454e7800da9a_1771290849.wav
2026-02-17T01:14:17.794057167Z [inf]  Clinic said: Perfect, let me check available times for a new patient consultation with any provider next week. We have plenty of openings next week for a new patient consultation. The first available slot is Tuesday, February 24th at 9 a.m. with Dr. Bricker. Would you like to book this time or should I check another day or time?
2026-02-17T01:14:17.794062324Z [inf]  Patient reply: Thank you, but could you please check for availability on Wednesday instead?
2026-02-17T01:14:17.794066885Z [err]  100.64.0.3 - - [17/Feb/2026 01:14:13] "POST /recording HTTP/1.1" 200 -
2026-02-17T01:14:47.248215638Z [inf]  Saved audio: audio/CA3493462759db7632b253454e7800da9a_1771290878.wav
2026-02-17T01:14:47.248229847Z [inf]  Clinic said: Sure. Let me check the openings for Wednesday, February 25th. The earliest slot that day is at 9 a.m. with Dr. Bricker. Would you like to book that time or prefer a different time on Wednesday?
2026-02-17T01:14:47.248238727Z [inf]  Patient reply: That sounds great, I’d like to book the 9 a.m. appointment with Dr. Bricker, please.
2026-02-17T01:14:47.248247795Z [err]  100.64.0.2 - - [17/Feb/2026 01:14:40] "POST /recording HTTP/1.1" 200 -
2026-02-17T01:15:07.326643395Z [inf]  Saved audio: audio/CA3493462759db7632b253454e7800da9a_1771290899.wav
2026-02-17T01:15:07.326652157Z [inf]  Clinic said: To finish booking, can you tell me the main reason or concern for your visit?
